nom_amenageur;siren_amenageur;contact_amenageur;nom_operateur;contact_operateur;telephone_operateur;nom_enseigne;id_station_itinerance;id_station_local;nom_station;implantation_station;adresse_station;code_insee_commune;coordonneesXY;nbre_pdc;id_pdc_itinerance;id_pdc_local;puissance_nominale;prise_type_ef;prise_type_2;prise_type_combo_ccs;prise_type_chademo;prise_type_autre;gratuit;paiement_acte;paiement_cb;paiement_autre;tarification;condition_acces;reservation;horaires;accessibilite_pmr;restriction_gabarit;station_deux_roues;raccordement;num_pdl;date_mise_en_service;observations;date_maj
;;;Ardennes Métropole;;;;Non concerné;;;;;"08105";"[4.7179177,49.77399649950447]";"2";Non concerné;;;;;;;;;;;;;Accès libre;;;Accessibilité inconnue;;;;;;node/8137623243;2021-06-19
;;;Ardennes Métropole;;;;Non concerné;;;;;"08105";"[4.7179573999999995,49.77398979950449]";"2";Non concerné;;;;;;;;;;;;;Accès libre;;;Accessibilité inconnue;;;;;;node/8137623242;2021-06-19
;;;Ardennes Métropole;;;;Non concerné;;;;;"08105";"[4.719625,49.76983959950543]";"2";Non concerné;;;;;;;;;;;;;Accès libre;;;Accessibilité inconnue;;;;;;node/7796160785;2021-06-18
;;;Ardennes Métropole;;;;Non concerné;;;;;"08105";"[4.723332699999999,49.76834849950582]";"2";Non concerné;;;;;;;;;;;;;Accès libre;;;Accessibilité inconnue;;;;;;node/7796192786;2021-06-19
;;;Clem;;;;Non concerné;;AM 104 - Charleville-Mezieres - Parc des Expo;;;"08105";"[4.709985499999999,49.756866799508494]";"2";Non concerné;;;;true;;;;true;;;;;Accès libre;;24/7;Accessibilité inconnue;;;;;;node/6128532958;2019-11-10
;;;Clem;;;;Non concerné;;AM 105 - Charleville-Mezieres - St Louis;;;"08105";"[4.7186287,49.75765649950833]";"2";Non concerné;;;;true;;;;true;;;;;Accès libre;;24/7;Accessibilité inconnue;;;;;;node/6128534434;2019-10-13
;;;Clem;;;;Non concerné;;AM 106 - Charleville-Mezieres - RG;;;"08105";"[4.7165044,49.756253799508656]";"2";Non concerné;;;;;;;;;;;;;Accès libre;;;Accessibilité inconnue;;;;;;node/6128535797;2018-12-11
;;;Clem;;;;Non concerné;;AM 107 - Charleville-Mezieres - Picasso;;;"08105";"[4.7214846,49.75640879950861]";"2";Non concerné;;;;true;;;;true;;;;;Accès libre;;24/7;Accessibilité inconnue;;;;;;node/6128540098;2019-11-11
;;;Clem;;;;Non concerné;;AM 108 - Charleville-Mezieres - Leon Bourgeois;;;"08105";"[4.7177969,49.754035199509175]";"2";Non concerné;;;;;;;;;;;;;Accès libre;;;Accessibilité inconnue;;;;;;node/6128541989;2020-01-07
;;;Clem;;;;Non concerné;;AM 109 - Charleville-Mezieres - Place Marceau;;;"08105";"[4.7274918,49.75184319950971]";"2";Non concerné;;;;;;;;;;;;;Accès libre;;;Accessibilité inconnue;;;;;;node/6128544493;2018-12-11
;;;Clem;;;;Non concerné;;AM 110 - Charleville-Mezieres - Mohon gare;;;"08105";"[4.733367099999999,49.75237829950956]";"2";Non concerné;;;;true;;;;true;;;;;Accès libre;;24/7;Accessibilité inconnue;;;;;;node/6128546642;2019-10-13
