name;lat;lon
CMZ - Campus;49.739365;4.722574
CMZ - Place Marceau;49.752337;4.728094
Sedan - Le Lac Centre Social;49.695050;4.944380
Sedan - Château;49.701180;4.948350
CMZ - Hôpital Manchester;49.763257;4.696632
Prix-Lès-Mézières;49.753853;4.697875
CMZ - Joliot Curie;49.786021;4.713055
CMZ - Lycée Chanzy;49.772879;4.730030
Lumes Mairie;49.735406;4.783628
Nouzonville - Centre culturel;49.814351;4.743956
Saint-Laurent - Mairie;49.763643;4.770851
CMZ - St Julien;49.761560;4.710807
CMZ - Place Ducale;49.773297;4.721910
Sedan - Gare SNCF;49.695062;4.930776
Damouzy Mairie;49.797414;4.675880
Warcq Bellevue du Nord;49.779128;4.694074
Sedan - Maison Claude Georgin;49.696260;4.915910
Balan Mairie;49.689629;4.959769
Bazeilles Mairie;49.675620;4.977076
CMZ - Nevers;49.775025;4.719151
Glaire Mairie;49.711680;4.913480
CMZ - Mont Olympe;49.779548;4.720643
Wadelincourt Mairie;49.685300;4.941070
Sedan - Frénois;49.689815;4.901857
CMZ - Lycée Bazin;49.772197;4.707450
Dom-le-Mesnil Pont-à-Bar;49.690658;4.838965
CMZ - Gare SNCF;49.768415;4.724588
Villers-Semeuse Mairie;49.742971;4.747106
CMZ - Lycée Charles de Gonzague;49.748141;4.714099
Flize - Mairie;49.698343;4.775153
Montcy-Notre-Dame Mairie;49.773881;4.743587
CMZ - Val de Vence;49.742581;4.729051
CMZ - Préfecture;49.760651;4.720122
Sedan - Mairie;49.703220;4.943320
CMZ - 91EME RI;49.755402;4.717517
