id_local;id_osm;code_com;coordonneesxy;capacite;capacite_cargo;type_accroche;mobilier;acces;gratuit;protection;couverture;surveillance;lumiere;url_info;d_service;source;proprietaire;gestionnaire;date_maj;commentaires
node/10130211276;node/10130211276;"08105";"[4.7182213,49.77140309950511]";"6";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
node/10814693061;node/10814693061;"08105";"[4.6965145999999995,49.763259299507006]";"6";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-15;
node/10814693062;node/10814693062;"08105";"[4.6964832,49.763419099506955]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-15;
node/10814693449;node/10814693449;"08105";"[4.718771599999999,49.77352159950459]";"6";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-15;
node/5401247372;node/5401247372;"08105";"[4.7208651999999995,49.773138399504674]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
node/6119045642;node/6119045642;"08105";"[4.7153149,49.77324369950467]";"4";;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;true;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
node/6119045643;node/6119045643;"08105";"[4.720105300000001,49.77375819950455]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2023-04-15;
node/6119045644;node/6119045644;"08105";"[4.7200503,49.773627399504576]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2023-04-15;
node/6119045645;node/6119045645;"08105";"[4.719357,49.77042009950534]";"5";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
node/6119045646;node/6119045646;"08105";"[4.7247466,49.76772909950594]";"14";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
node/6119045647;node/6119045647;"08105";"[4.7249567,49.76812789950586]";"20";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
node/6119179172;node/6119179172;"08105";"[4.725197099999999,49.77412059950447]";;;;AUTRE;LIBRE ACCES;true;AUTRE;true;false;;;;OpenStreetMap;;;2021-06-28;
node/6119179173;node/6119179173;"08105";"[4.7245572,49.77453149950438]";"8";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
node/6127725685;node/6127725685;"08105";"[4.716137899999999,49.773909699504514]";"10";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
node/6142723813;node/6142723813;"08105";"[4.7144524,49.77321759950467]";"25";;ROUE;RATELIER;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2023-04-16;Type de parking vélo à bannir
node/6142723814;node/6142723814;"08105";"[4.7196237000000005,49.77511259950422]";"6";;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
node/6142723815;node/6142723815;"08105";"[4.7253636,49.77253899950482]";"2";;CADRE;POTELET;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
node/6142723816;node/6142723816;"08105";"[4.7201393,49.7811906995028]";"11";;ROUE;RATELIER;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
